Centro,2825
Alto Branco,2473
Araxá,465
Bela Vista,1850
Bodocongó,3938
Castelo Branco,778
Catolé,5896
Centenário,2409
Cidades,1662
Conceição,1092
Cruzeiro,4067
Cuites,531
Dinamérica,1740
Distrito Industrial,672
Estação Velha,974
Itararé,911
Jardim Continental,615
Jardim Paulistano,2337
Jardim Tavares,986
Jeremias,3030
José Pinheiro,4629
Lauritzen,827
Liberdade,4849
Louzeiro,380
Malvinas,10909
Mirante,484
Monte Castelo,2476
Monte Santo,2297
Nações,376
Nova Brasilia,2506
Novo Bodocongó,392
Palmeira,1681
Pedregal,2335
Prata,1146
Presidente Médici,1250
Quarenta,1460
Ramadinha,600
Sandra Cavalcante,1871
Santa Cruz,2933
São José,1291
Santa Rosa,3067
Santo Antônio,1159
Serrotão,1684
Tambor,2368
Três Irmãs,3535
Universitário,1050
Vila Cabral,1347
Acácio Figueiredo,2657
Velame,1702
Jardim Quarenta,813